alpha,method,coverage_overall_mean,miscoverage_mean,miscov_a0_mean,miscov_a1_mean,avg_utility_mean,avg_maxmin_mean,report_avg_maxmin_mean,decision_avg_utility_mean,set_size_mean_mean,fdr_overall_mean,action0_frequency_mean,action1_frequency_mean,rating1_recommend_rate_mean,rating2_recommend_rate_mean,coverage_overall_std,miscoverage_std,miscov_a0_std,miscov_a1_std,avg_utility_std,avg_maxmin_std,report_avg_maxmin_std,decision_avg_utility_std,set_size_mean_std,fdr_overall_std,action0_frequency_std,action1_frequency_std,rating1_recommend_rate_std,rating2_recommend_rate_std,coverage_overall_count,miscoverage_count,miscov_a0_count,miscov_a1_count,avg_utility_count,avg_maxmin_count,report_avg_maxmin_count,decision_avg_utility_count,set_size_mean_count,fdr_overall_count,action0_frequency_count,action1_frequency_count,rating1_recommend_rate_count,rating2_recommend_rate_count,coverage_overall_stderr,miscoverage_stderr,miscov_a0_stderr,miscov_a1_stderr,avg_utility_stderr,avg_maxmin_stderr,report_avg_maxmin_stderr,decision_avg_utility_stderr,set_size_mean_stderr,fdr_overall_stderr,action0_frequency_stderr,action1_frequency_stderr,rating1_recommend_rate_stderr,rating2_recommend_rate_stderr
0.005,AC-RAC,0.9893000000000001,0.010700000000000006,0.004606011911268378,0.02952049688025245,0.302,0.16707799999999998,-0.03553333333333333,0.2920625,4.413799999999999,0.7654511111111111,0.7518666666666666,0.24813333333333332,0.03392776709744021,0.05504847569061603,0.001479864858694823,0.0014798648586948385,0.001456276487911762,0.002856373574765193,0.03465068541890619,0.02701516080370428,0.01119345046593468,0.03526708367231405,0.07126759431887682,0.003770001964828979,0.035466087087996236,0.03546608708799624,0.01095336232366958,0.004436992150825158,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0008544003745317235,0.0008544003745317326,0.0008407816223103787,0.0016491280522968178,0.02000558255421053,0.015597210362219694,0.00646254163966813,0.020361460251743572,0.04114636476450058,0.0021766116492394293,0.02047635492735734,0.020476354927357342,0.0063239266861021375,0.0025616986126711615
0.005,Best Response,,,,,0.606,,,,,,0.18876666666666667,0.8112333333333334,0.38538009218783476,0.5674325448580466,,,,,0.014117011015083903,,,,,,0.02692477174152706,0.02692477174152706,0.04961910077856684,0.044202310947623245,0,0,0,0,3,0,0,0,0,0,3,3,3,3,0.0,0.0,0.0,0.0,0.008150460109711604,0.0,0.0,0.0,0.0,0.0,0.015545024212839877,0.015545024212839877,0.028647601191452737,0.025520216124413825
0.005,RAC,0.9952,0.004799999999999989,0.0,0.03175827684120921,0.2028,0.1561,0.0053,0.2028,4.6931,0.7806766666666666,0.8492000000000001,0.15080000000000002,0.021179829408617665,0.02850689213106863,0.000888819441731539,0.0008888194417315233,0.0,0.005237404279681574,0.006643041472096956,0.007418220810949231,0.0034828149534535994,0.006643041472096956,0.011621961968617579,0.0007914613768915278,0.004309292285283025,0.004309292285283049,0.005896037142998736,0.004212344030282716,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.000513160143944677,0.000513160143944668,0.0,0.003023816770729055,0.0038353617821530253,0.004282911782109623,0.0020108041509140895,0.0038353617821530253,0.006709942871092952,0.00045695043900151545,0.002487971060924932,0.002487971060924946,0.0034040786316623523,0.0024319979598030395
0.005,Score-1,0.9954666666666666,0.004533333333333352,0.0045011869900905,0.16666666666666666,0.0004333333333333333,0.0002666666666666666,0.0002666666666666666,0.0004333333333333333,4.454899999999999,0.7714788888888888,0.9997333333333334,0.0002666666666666666,0.0,0.0,0.0005686240703077506,0.000568624070307732,0.0005291238029604466,0.2886751345948129,0.00020816659994661328,5.7735026918962544e-05,5.7735026918962544e-05,0.00020816659994661328,0.006823488843692724,0.00028467492832143687,5.7735026918956215e-05,5.7735026918962544e-05,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0003282952600598805,0.00032829526005986973,0.00030548977007385233,0.16666666666666669,0.00012018504251546632,3.3333333333333315e-05,3.3333333333333315e-05,0.00012018504251546632,0.0039395431207184025,0.000164357146497919,3.333333333332966e-05,3.3333333333333315e-05,0.0,0.0
0.005,Score-2,0.9954666666666666,0.004533333333333352,0.004501320416806546,0.16666666666666666,0.0005,0.0003,0.0003,0.0005,4.4501,0.7710305555555554,0.9997000000000001,0.0003,0.0,0.0,0.0005033222956846979,0.00050332229568472,0.0004579627699252188,0.2886751345948129,0.00030000000000000003,0.0001,0.0001,0.00030000000000000003,0.011963695081369703,0.0006276440368848464,9.999999999998899e-05,0.0001,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.00029059326290270076,0.00029059326290271356,0.00026440492849515173,0.16666666666666669,0.00017320508075688776,5.7735026918962585e-05,5.7735026918962585e-05,0.00017320508075688776,0.0069072425757314,0.0003623704536507295,5.773502691895622e-05,5.7735026918962585e-05,0.0,0.0
0.01,AC-RAC,0.9846333333333334,0.01536666666666664,0.009939221073895702,0.02983353261194477,0.3266,0.18465083333333335,-0.0506,0.3177695,4.3158,0.7608277777777778,0.7253666666666666,0.27463333333333334,0.038380872422859806,0.06464241943309662,0.0017039170558843081,0.0017039170558843081,0.0014955747541698721,0.0021923016953940408,0.035076915485829134,0.02565993149510213,0.012916655913974017,0.035705502401590705,0.06154055573359747,0.003124243167612039,0.03685326760727374,0.03685326760727377,0.014762028852230241,0.006362663951327956,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0009837569708915999,0.0009837569708915999,0.0008634704869131841,0.0012657259739806224,0.020251666598085204,0.014814768356084572,0.007457434768962671,0.020614581423109225,0.03553045641887167,0.0018037826338346598,0.02127724397357681,0.021277243973576828,0.008522861331620153,0.0036734857450623232
0.01,Best Response,,,,,0.606,,,,,,0.18876666666666667,0.8112333333333334,0.38538009218783476,0.5674325448580466,,,,,0.014117011015083903,,,,,,0.02692477174152706,0.02692477174152706,0.04961910077856684,0.044202310947623245,0,0,0,0,3,0,0,0,0,0,3,3,3,3,0.0,0.0,0.0,0.0,0.008150460109711604,0.0,0.0,0.0,0.0,0.0,0.015545024212839877,0.015545024212839877,0.028647601191452737,0.025520216124413825
0.01,RAC,0.9918666666666667,0.008133333333333326,0.0,0.03718389616007375,0.27886666666666665,0.23206666666666667,0.012866666666666667,0.27886666666666665,4.548733333333334,0.7715455555555555,0.7808,0.21919999999999998,0.03167919238208458,0.047913507648071764,0.0010692676621563237,0.0010692676621563539,0.0,0.005001947785044695,0.01735521055283783,0.014005118112080779,0.006963715483370449,0.01735521055283783,0.02736518469393766,0.0016009939042611588,0.014231303524273535,0.014231303524273523,0.010693381670356305,0.0029031529741960476,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0006173419725817153,0.0006173419725817328,0.0,0.002887875900168007,0.010020035484523555,0.008085858712042341,0.004020503008883894,0.010020035484523555,0.015799296749468738,0.00092433426159613,0.008216446920658595,0.008216446920658588,0.006173826785927623,0.001676136151150751
0.01,Score-1,0.9907,0.009300000000000011,0.009214267582667635,0.07037037037037037,0.0026999999999999997,0.0015666666666666667,0.0015666666666666667,0.0026999999999999997,4.242066666666667,0.7595977777777779,0.9984333333333333,0.0015666666666666667,0.0,0.0,0.0004358898943541276,0.0004358898943540829,0.0004310405626361885,0.061195228303178924,0.001044030650891055,0.0005859465277082314,0.0005859465277082314,0.001044030650891055,0.008617617613547715,0.0005197337281225721,0.0005859465277082822,0.0005859465277082314,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.00025166114784239314,0.0002516611478423673,0.0002488613848696512,0.03533108153396096,0.0006027713773341708,0.00033829638550307394,0.00033829638550307394,0.0006027713773341708,0.004975383848955034,0.00030006840783849476,0.00033829638550310326,0.00033829638550307394,0.0,0.0
0.01,Score-2,0.9901333333333334,0.009866666666666654,0.009749495654639265,0.08333333333333333,0.0028333333333333335,0.0016666666666666668,0.0016666666666666668,0.0028333333333333335,4.230933333333334,0.7587294444444446,0.9983333333333334,0.0016666666666666668,0.0,0.0,0.00040414518843277363,0.0004041451884327579,0.0004599377372520363,0.028867513459481253,0.0010016652800877812,0.0005773502691896257,0.0005773502691896257,0.0010016652800877812,0.009860189315288623,0.0004190807842215048,0.0005773502691895862,0.0005773502691896257,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0002333333333333539,0.00023333333333334482,0.00026554517641293055,0.016666666666666646,0.0005783117190965824,0.0003333333333333333,0.0003333333333333333,0.0005783117190965824,0.005692782955442559,0.0002419564035824853,0.0003333333333333105,0.0003333333333333333,0.0,0.0
0.02,AC-RAC,0.9766666666666667,0.023333333333333317,0.01881431261441091,0.03287066702807181,0.36979999999999996,0.22094966666666668,-0.07233333333333333,0.36291350000000006,4.176733333333334,0.7545155555555555,0.6751,0.3249,0.048637219611212916,0.09017500706829647,0.00015275252316517785,0.00015275252316517785,0.0003222564888540299,0.0016531510806579025,0.03808556156865748,0.02593430249849285,0.0177629764773062,0.03884908661410202,0.05268029359573955,0.0027742718430714877,0.04223541168261537,0.04223541168261534,0.014130501011457674,0.013404051276603287,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8.819171036880998e-05,8.819171036880998e-05,0.0001860548705879778,0.0009544472214289608,0.02198870922390246,0.014973176528750033,0.010255459250781727,0.022429530614422887,0.03041498168848875,0.0016017265954025228,0.02438462630429265,0.024384626304292632,0.008158248562749368,0.007738832612778455
0.02,Best Response,,,,,0.606,,,,,,0.18876666666666667,0.8112333333333334,0.38538009218783476,0.5674325448580466,,,,,0.014117011015083903,,,,,,0.02692477174152706,0.02692477174152706,0.04961910077856684,0.044202310947623245,0,0,0,0,3,0,0,0,0,0,3,3,3,3,0.0,0.0,0.0,0.0,0.008150460109711604,0.0,0.0,0.0,0.0,0.0,0.015545024212839877,0.015545024212839877,0.028647601191452737,0.025520216124413825
0.02,RAC,0.9825333333333334,0.017466666666666703,0.0,0.05607763389835285,0.3654,0.3504333333333333,0.038200000000000005,0.3654,4.3373333333333335,0.7586966666666667,0.6877666666666666,0.3122333333333333,0.059388591901176506,0.09448244520827638,0.002800595174839381,0.0028005951748393413,0.0,0.00836546797478886,0.02950457591628796,0.02987245107675855,0.013210223313782398,0.02950457591628796,0.05756738081008512,0.003304745745809235,0.029187211811567988,0.02918721181156798,0.01292730351952504,0.007885543512586534,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0016169243780846838,0.0016169243780846609,0.0,0.004829805187141542,0.017034474847594603,0.017246867670520475,0.007626925986267338,0.017034474847594603,0.03323654280724434,0.0019079958459462326,0.016851244596303404,0.0168512445963034,0.007463582166893779,0.0045527206696983425
0.02,Score-1,0.9818333333333333,0.018166666666666664,0.01800948972884357,0.04739671340625895,0.010433333333333334,0.006066666666666667,0.006066666666666667,0.010433333333333334,3.9576999999999996,0.7431172222222222,0.9939333333333332,0.006066666666666667,0.0005659309564233164,0.00028153153153153153,0.0002516611478423306,0.0002516611478423306,0.00032001705901197724,0.020973220134248897,0.002829016319029166,0.001850225211517056,0.001850225211517056,0.002829016319029166,0.01504293854271832,0.0013362533996769425,0.0018502252115170739,0.001850225211517056,0.000980221170101232,0.0004876269165452921,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.00014529663145133978,0.00014529663145133978,0.00018476193516583743,0.01210889429028188,0.0016333333333333334,0.0010682280239308047,0.0010682280239308047,0.0016333333333333334,0.008685044617041419,0.0007714862600090354,0.0010682280239308149,0.0010682280239308047,0.0005659309564233163,0.0002815315315315316
0.02,Score-2,0.9812,0.0188,0.018613275038697547,0.047899024035151894,0.010366666666666668,0.006066666666666667,0.006066666666666667,0.010366666666666668,3.9507,0.7423227777777778,0.9939333333333332,0.006066666666666667,0.0005659309564233164,0.00028153153153153153,0.00040000000000006697,0.0004000000000000119,0.0002991152904987993,0.015254054150848536,0.002804163571073081,0.001850225211517056,0.001850225211517056,0.002804163571073081,0.025722169426391744,0.0018452840291261659,0.0018502252115170739,0.001850225211517056,0.000980221170101232,0.0004876269165452921,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.000230940107675889,0.0002309401076758572,0.0001726942934882149,0.008806932270225531,0.0016189845926107857,0.0010682280239308047,0.0010682280239308047,0.0016189845926107857,0.014850701442468436,0.0010653752309473092,0.0010682280239308149,0.0010682280239308047,0.0005659309564233163,0.0002815315315315316
0.05,AC-RAC,0.9521333333333333,0.04786666666666665,0.04815221140146412,0.04761078210683741,0.48,0.37502233333333335,-0.08126666666666667,0.47807249999999996,3.7889,0.7355944444444443,0.5297999999999999,0.4702,0.10071063259510331,0.17995320583128915,0.0017156145643277172,0.001715614564327683,0.001778731933839039,0.004300216503674006,0.03440915575831525,0.027950677506696196,0.022077439465058746,0.03500259500022814,0.049032336269037684,0.002135036646402486,0.04667622521155709,0.04667622521155713,0.03317086955714946,0.027355172242521514,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0009905105305402502,0.0009905105305402302,0.0010269513608181528,0.0024827311559698587,0.01986613533965107,0.016137331182523466,0.012746415618169336,0.020208757645717168,0.028308832543925157,0.0012326639825301913,0.026948531190648085,0.026948531190648106,0.019151210468074203,0.015793516057948376
0.05,Best Response,,,,,0.606,,,,,,0.18876666666666667,0.8112333333333334,0.38538009218783476,0.5674325448580466,,,,,0.014117011015083903,,,,,,0.02692477174152706,0.02692477174152706,0.04961910077856684,0.044202310947623245,0,0,0,0,3,0,0,0,0,0,3,3,3,3,0.0,0.0,0.0,0.0,0.008150460109711604,0.0,0.0,0.0,0.0,0.0,0.015545024212839877,0.015545024212839877,0.028647601191452737,0.025520216124413825
0.05,RAC,0.9533333333333333,0.04666666666666671,0.0,0.1034650744806694,0.4736,0.5979333333333333,0.14653333333333332,0.4736,3.9506666666666668,0.735868888888889,0.5486,0.4514,0.12701969589243486,0.18164574373878037,0.004554484969053424,0.0045544849690533976,0.0,0.00703885627869063,0.02983756022197526,0.03749724434319589,0.013723823568282037,0.02983756022197526,0.07469352939400666,0.0035907478845459,0.03844073360382184,0.03844073360382186,0.027313440747271128,0.027162221694926443,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0026295331229030986,0.0026295331229030834,0.0,0.004063885567289123,0.017226723426119087,0.02164904411541332,0.007923453231458565,0.017226723426119087,0.04312432930235297,0.002073119257734655,0.02219376789401323,0.022193767894013245,0.01576942236793188,0.015682116007354075
0.05,Score-1,0.9512666666666667,0.04873333333333333,0.047912311476316506,0.06552058355540569,0.0667,0.042866666666666664,0.042866666666666664,0.0667,3.4395666666666664,0.7119483333333334,0.9572666666666666,0.042733333333333325,0.0027587489273037395,0.0023200788291948093,0.0014364307617609898,0.0014364307617609846,0.0019448676244235652,0.016841660308383067,0.01221924711264978,0.008976264999059094,0.008976264999059094,0.01221924711264978,0.026657894390467594,0.0020214000923452144,0.009091387866180422,0.009091387866180462,0.002022481736641617,0.0013137981468932184,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0008293236869749667,0.0008293236869749638,0.0011228698464991335,0.0097235371126452,0.007054785609782907,0.005182449013524184,0.005182449013524184,0.007054785609782907,0.015390942502365081,0.001167055887455444,0.005248915231846564,0.005248915231846587,0.0011676803750811395,0.0007585217137696312
